id	queueId	annotCellTreatment	annotCellLine	annotCellType	annotAnatomy	harvestSite	sourceSpecies	annotSpecies	annotDisease	annotDevStage	annotSex	note
3656273	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3656272	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3486762	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3486761	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3486760	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3486758	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3486757	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3486756	100	0	0	0	kidney	0	Homo Sapiens	0	0	0	0	
3656275	100	0	0	0	kidney	0	Homo Sapiens	Homo Sapiens	0		0	
3656274	100	0	0	0	kidney	0	Homo Sapiens	Homo Sapiens	0	0	0	
3012854	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3012852	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3012850	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412884	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412869	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412868	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412862	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412859	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412858	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3012853	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3012851	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3012849	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647020	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647019	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647018	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647017	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647016	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647015	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647014	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647013	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647012	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647011	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647010	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647009	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647008	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647007	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647006	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647005	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647004	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647003	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647002	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647001	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3647000	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3646999	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3646998	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3646997	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3646996	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3646995	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2412854	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3700703	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3700702	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
2940960	4	N6-adenylation	0	0	0	0	Homo Sapiens	0	0	0	0	
2940961	4	N6-adenylation	0	0	0	0	Homo Sapiens	0	0	0	0	
3113097	4	0	0	Stem cell	0	0	Homo Sapiens	0	0	0	0	
2737851	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
1085910	4	0	293 cell	0	0	0	Homo Sapiens	0	0	0	0	
3455448	4	test	0	0	0	0	Homo Sapiens	0	0	0	0	
3940587	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940586	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940585	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940584	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940583	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940582	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940581	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940580	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940579	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940578	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940577	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940576	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940575	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940574	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940573	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940572	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940571	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940570	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940569	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940568	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940567	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940561	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940566	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940565	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940564	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940563	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940562	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940560	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940559	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940478	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940477	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940476	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940475	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940474	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940473	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940472	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940471	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940470	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940469	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940468	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940467	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
3940466	1	0	U2-OS cell	0	0	0	Homo Sapiens	0	0	0	0	
2231991	1	0	K-562 cell	0	0	0	Homo Sapiens	0	0	0	0	
2231989	1	0	K-562 cell	0	0	0	Homo Sapiens	0	0	0	0	
2298822	1	0	WM-115 cell	0	0	0	Homo Sapiens	0	0	0	0	
2298820	1	0	WM-115 cell	0	0	0	Homo Sapiens	0	0	0	0	
4349977	1	0	VCaP cell	0	0	0	Homo Sapiens	0	0	0	0	
3160901	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160895	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160894	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160883	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160878	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
3160876	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
205386	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
205378	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
205370	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
1113337	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
1113335	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
1113334	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
2697336	1	0	ZR-75-1 cell	0	0	0	Homo Sapiens	0	0	0	0	
2435014	4	0			performance	0	Homo Sapiens		0	0	0	
191469	4	0			performance	0	Homo Sapiens		0	0	0	
792330	4	0			performance	0	Homo Sapiens		0	0	0	
3380863	4	0			performance	0	Homo Sapiens		0	0	0	
3380862	4	0			performance	0	Homo Sapiens		0	0	0	
